Index,Title,Artist,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
80961,Beta Nassau,Piotr Wyrzykowski,26442.0,1993,"Video (color, sound)",9 min.,Acquired through the generosity of Angeliki Intzides,480.2003,Video,Media and Performance,2003-03-19,Y,88936,http://www.moma.org/collection/works/88936,http://www.moma.org/media/W1siZiIsIjIxNTc0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=adcdf2c6527b745b,,,,,,,,,540.0
80962,Semiotics of the Kitchen,Martha Rosler,6832.0,1975,"Video (black and white, sound)
",6:09 min.,Purchase,718.1981,Video,Media and Performance,1981-11-16,Y,88937,http://www.moma.org/collection/works/88937,http://www.moma.org/media/W1siZiIsIjE0NjQ5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=294f819063ce2277,,,,,,,,,369.0
81230,Double Lunar Dogs,Joan Jonas,2930.0,1984,"Video (color, sound)",24 min.,Purchase,538.1992,Video,Media and Performance,1992-12-15,Y,89352,http://www.moma.org/collection/works/89352,http://www.moma.org/media/W1siZiIsIjEyNzE0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9a5dc106e97516d7,,,,,,,,,1440.0
81267,Chott el-Djerid (A Portrait in Light and Heat),Bill Viola,7898.0,1979,"Video (color, sound)",28 min.,Acquired through the generosity of Catherine V. Meacham,723.1981,Video,Media and Performance,1981-03-04,Y,89506,http://www.moma.org/collection/works/89506,http://www.moma.org/media/W1siZiIsIjczOTY4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=c6b6bdeff7470d12,,,,,,,,,1680.0
82868,Songdelay,Joan Jonas,2930.0,1973,"16mm film transferred to video (black and white, sound)",18:35 min.,Acquired through the generosity of Barbara Wise,543.2004,Video,Media and Performance,2004-09-01,Y,93164,http://www.moma.org/collection/works/93164,http://www.moma.org/media/W1siZiIsIjE1MTU2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=123bb10b1dc214c2,,,,,,,,,1115.0
82915,Never My Soul (single screen version),Kutlug Ataman,27561.0,2001,"Video (color, sound)",180 min.,Fund for the Twenty-First Century,411.2004,Video,Media and Performance,2004-04-13,Y,93287,http://www.moma.org/collection/works/93287,http://www.moma.org/media/W1siZiIsIjIxNzQ4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=777754e5ecb29573,,,,,,,,,10800.0
83603,Hatsu-Yume (First Dream),Bill Viola,7898.0,1981,"Video (color, sound)",56 min.,Acquired through the generosity of Catherine V. Meacham Durgin,485.1982,Video,Media and Performance,1982-11-03,Y,94791,http://www.moma.org/collection/works/94791,http://www.moma.org/media/W1siZiIsIjIzMzcwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4d3ad79ca5c84c7c,,,,,,,,,3360.0
86598,Goodboy,Aaron Young,29007.0,2001,"Video (color, sound)",2 min.,Fund for the Twenty-First Century,536.2004,Video,Media and Performance,2004-12-13,Y,98805,http://www.moma.org/collection/works/98805,http://www.moma.org/media/W1siZiIsIjE1MDg3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=92c666591b345099,,,,,,,,,120.0
86599,High Performance,Aaron Young,29007.0,2000,"Video (color, sound)",3 min.,Fund for the Twenty-First Century,538.2004,Video,Media and Performance,2004-12-13,Y,98806,http://www.moma.org/collection/works/98806,http://www.moma.org/media/W1siZiIsIjE1MDg3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=064ab1aaf498ec31,,,,,,,,,180.0
86743,Selected Works: Reel 3,William Wegman,6281.0,1972-73,"Nineteen videos (black and white, sound and silent)",17:54 min.,Acquired through the generosity of Barbara Pine,449.1975.1-19,Video,Media and Performance,1975-05-15,Y,99025,http://www.moma.org/collection/works/99025,http://www.moma.org/media/W1siZiIsIjEyNzE4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d6c84d7192e51754,,,,,,,,,1074.0
